"Dato";"Indlæggelser kumuleret"
2020-07-10;2651
2020-07-10;2652
2020-07-11;2653
2020-07-11;2654
2020-07-12;2655
2020-07-12;2656
2020-07-13;2659
2020-07-13;2659
2020-07-14;2659
2020-07-14;2659
2020-07-15;2659
2020-07-15;2665
2020-07-16;2666
2020-07-16;2668
2020-07-17;2668
2020-07-17;2669
2020-07-18;2672
2020-07-18;2673
2020-07-19;2675
2020-07-19;2676
2020-07-20;2676
2020-07-20;2676
2020-07-21;2677
2020-07-21;2680
2020-07-22;2680
2020-07-22;2682
2020-07-23;2682
2020-07-23;2684
2020-07-24;2686
2020-07-24;2687
2020-07-25;2687
2020-07-25;2690
2020-07-26;2692
2020-07-26;2692
2020-07-27;2696
2020-07-27;2698
2020-07-28;2699
2020-07-28;2704
2020-07-29;2708
2020-07-29;2712
2020-07-30;2712
2020-07-30;2714
2020-07-31;2714
2020-07-31;2716
2020-08-01;2717
2020-08-01;2717
2020-08-02;2717
2020-08-02;2720
2020-08-03;2721
2020-08-03;2725
2020-08-04;2725
2020-08-04;2730
2020-08-05;2732
2020-08-05;2736
2020-08-06;2740
2020-08-06;2743
2020-08-07;2746
2020-08-07;2747
2020-08-08;2749
2020-08-08;2751
2020-08-09;2751
2020-08-09;2752
2020-08-10;2753
2020-08-10;2755
2020-08-11;2757
2020-08-11;2761
2020-08-12;2767
2020-08-12;2771
2020-08-13;2772
2020-08-13;2773
2020-08-14;2773
2020-08-14;2776
2020-08-15;2781
2020-08-15;2781
2020-08-16;2782
2020-08-16;2784
2020-08-17;2786
2020-08-17;2787
2020-08-18;2790
2020-08-18;2791
2020-08-19;2793
2020-08-19;2796
2020-08-20;2798
2020-08-20;2800
2020-08-21;2802
2020-08-21;2802
2020-08-22;2803
2020-08-22;2807
2020-08-23;2807
2020-08-23;2809
2020-08-24;2810
2020-08-24;2815
2020-08-25;2816
2020-08-25;2817
2020-08-26;2818
2020-08-26;2820
2020-08-27;2821
2020-08-27;2824
2020-08-28;2827
2020-08-28;2829
2020-08-29;2830
2020-08-29;2833
2020-08-30;2839
2020-08-30;2840
2020-08-31;2842
2020-08-31;2844
2020-09-01;2847
2020-09-01;2850
2020-09-02;2854
2020-09-02;2864
2020-09-03;2868
2020-09-03;2873
2020-09-04;2877
2020-09-04;2882
2020-09-05;2887
2020-09-05;2891
2020-09-06;2895
2020-09-06;2900
2020-09-07;2909
2020-09-07;2913
2020-09-08;2921
2020-09-08;2927
2020-09-09;2931
2020-09-09;2940
2020-09-10;2947
2020-09-10;2958
2020-09-11;2962
2020-09-11;2972
2020-09-12;2976
2020-09-12;2983
2020-09-13;2991
2020-09-13;3000
2020-09-14;3007
2020-09-14;3017
2020-09-15;3030
2020-09-15;3042
2020-09-16;3057
2020-09-16;3072
2020-09-17;3080
2020-09-17;3091
2020-09-18;3103
2020-09-18;3111
2020-09-19;3123
2020-09-19;3131
2020-09-20;3140
2020-09-20;3148
2020-09-21;3160
2020-09-21;3164
2020-09-22;3171
2020-09-22;3184
2020-09-23;3195
2020-09-23;3210
2020-09-24;3221
2020-09-24;3235
2020-09-25;3246
2020-09-25;3255
2020-09-26;3263
2020-09-26;3268
2020-09-27;3272
2020-09-27;3281
2020-09-28;3289
2020-09-28;3298
2020-09-29;3307
2020-09-29;3316
2020-09-30;3324
2020-09-30;3330
2020-10-01;3336
2020-10-01;3346
2020-10-02;3352
2020-10-02;3360
2020-10-03;3364
2020-10-03;3367
2020-10-04;3374
2020-10-04;3385
2020-10-05;3394
2020-10-05;3409
2020-10-06;3414
2020-10-06;3424
2020-10-07;3435
2020-10-07;3446
2020-10-08;3451
2020-10-08;3460
2020-10-09;3469
2020-10-09;3479
2020-10-10;3484
2020-10-10;3495
2020-10-11;3503
2020-10-11;3509
2020-10-12;3520
2020-10-12;3535
2020-10-13;3550
2020-10-13;3556
2020-10-14;3566
2020-10-14;3582
2020-10-15;3592
2020-10-15;3605
2020-10-16;3615
2020-10-16;3629
2020-10-17;3636
2020-10-17;3648
2020-10-18;3661
2020-10-18;3678
2020-10-19;3689
2020-10-19;3698
2020-10-20;3714
2020-10-20;3731
2020-10-21;3745
2020-10-21;3758
2020-10-22;3771
2020-10-22;3786
2020-10-23;3796
2020-10-23;3810
2020-10-24;3825
2020-10-24;3844
2020-10-25;3860
2020-10-25;3870
2020-10-26;3891
2020-10-26;3912
2020-10-27;3936
2020-10-27;3958
2020-10-28;3982
2020-10-28;4004
2020-10-29;4020
2020-10-29;4040
2020-10-30;4056
2020-10-30;4078
2020-10-31;4092
2020-10-31;4108
2020-11-01;4129
2020-11-01;4148
2020-11-02;4168
2020-11-02;4184
2020-11-03;4214
2020-11-03;4236
2020-11-04;4258
2020-11-04;4286
2020-11-05;4312
2020-11-05;4332
2020-11-06;4348
2020-11-06;4374
2020-11-07;4379
2020-11-07;4392
2020-11-08;4404
2020-11-08;4422
2020-11-09;4447
2020-11-09;4476
2020-11-10;4504
2020-11-10;4519
2020-11-11;4531
2020-11-11;4561
2020-11-12;4581
2020-11-12;4599
2020-11-13;4627
2020-11-13;4648
2020-11-14;4667
2020-11-14;4687
2020-11-15;4702
2020-11-15;4714
2020-11-16;4726
2020-11-16;4759
2020-11-17;4784
2020-11-17;4811
2020-11-18;4829
2020-11-18;4859
2020-11-19;4881
2020-11-19;4905
2020-11-20;4930
2020-11-20;4950
2020-11-21;4968
2020-11-21;4988
2020-11-22;5002
2020-11-22;5027
2020-11-23;5055
2020-11-23;5080
2020-11-24;5090
2020-11-24;5129
2020-11-25;5146
2020-11-25;5178
2020-11-26;5196
2020-11-26;5222
2020-11-27;5256
2020-11-27;5283
2020-11-28;5293
2020-11-28;5318
2020-11-29;5333
2020-11-29;5346
2020-11-30;5380
2020-11-30;5403
2020-12-01;5436
2020-12-01;5462
2020-12-02;5495
2020-12-02;5533
2020-12-03;5569
2020-12-03;5599
2020-12-04;5632
2020-12-04;5667
2020-12-05;5702
2020-12-05;5744
2020-12-06;5775
2020-12-06;5819
2020-12-07;5874
2020-12-07;5932
2020-12-08;5983
2020-12-08;6029
2020-12-09;6077
2020-12-09;6119
2020-12-10;6173
2020-12-10;6227
2020-12-11;6289
2020-12-11;6362
2020-12-12;6414
2020-12-12;6456
2020-12-13;6517
2020-12-13;6591
2020-12-14;6664
2020-12-14;6741
2020-12-15;6811
2020-12-15;6885
2020-12-16;6979
2020-12-16;7068
2020-12-17;7139
2020-12-17;7235
2020-12-18;7307
2020-12-18;7387
2020-12-19;7458
2020-12-19;7525
2020-12-20;7577
2020-12-20;7653
2020-12-21;7734
2020-12-21;7821
2020-12-22;7898
2020-12-22;7988
2020-12-23;8067
2020-12-23;8144
2020-12-24;8187
2020-12-24;8240
2020-12-25;8306
2020-12-25;8374
2020-12-26;8434
2020-12-26;8538
2020-12-27;8604
2020-12-27;8675
2020-12-28;8779
2020-12-28;8882
2020-12-29;8964
2020-12-29;9038
2020-12-30;9107
2020-12-30;9198
2020-12-31;9238
2020-12-31;9294
2021-01-01;9337
2021-01-01;9392
2021-01-02;9446
2021-01-02;9523
2021-01-03;9575
2021-01-03;9632
2021-01-04;9691
2021-01-04;9761
2021-01-05;9820
2021-01-05;9876
2021-01-06;9945
2021-01-06;9997
2021-01-07;10053
2021-01-07;10115
2021-01-08;10168
2021-01-08;10225
2021-01-09;10266
2021-01-09;10324
2021-01-10;10370
2021-01-10;10414
2021-01-11;10475
2021-01-11;10525
2021-01-12;10574
2021-01-12;10619
2021-01-13;10661
2021-01-13;10712
2021-01-14;10746
2021-01-14;10787
2021-01-15;10818
2021-01-15;10865
2021-01-16;10892
2021-01-16;10930
2021-01-17;10961
2021-01-17;10993
2021-01-18;11035
2021-01-18;11094
2021-01-19;11130
2021-01-19;11186
2021-01-20;11215
2021-01-20;11247
2021-01-21;11283
2021-01-21;11331
2021-01-22;11358
2021-01-22;11385
2021-01-23;11408
2021-01-23;11437
2021-01-24;11458
2021-01-24;11477
2021-01-25;11507
2021-01-25;11539
2021-01-26;11556
2021-01-26;11582
2021-01-27;11602
2021-01-27;11629
2021-01-28;11651
2021-01-28;11669
2021-01-29;11684
2021-01-29;11701
2021-01-30;11716
2021-01-30;11727
2021-01-31;11741
2021-01-31;11763
2021-02-01;11784
2021-02-01;11813
2021-02-02;11834
2021-02-02;11855
2021-02-03;11867
2021-02-03;11885
2021-02-04;11898
2021-02-04;11918
2021-02-05;11929
2021-02-05;11950
2021-02-06;11972
2021-02-06;11983
2021-02-07;12005
2021-02-07;12017
2021-02-08;12044
2021-02-08;12061
2021-02-09;12080
2021-02-09;12096
2021-02-10;12114
2021-02-10;12129
2021-02-11;12134
2021-02-11;12148
2021-02-12;12156
2021-02-12;12171
2021-02-13;12184
2021-02-13;12192
2021-02-14;12202
2021-02-14;12211
2021-02-15;12218
2021-02-15;12236
2021-02-16;12248
2021-02-16;12263
2021-02-17;12273
2021-02-17;12294
2021-02-18;12302
2021-02-18;12325
2021-02-19;12338
2021-02-19;12355
2021-02-20;12368
2021-02-20;12382
2021-02-21;12394
2021-02-21;12410
2021-02-22;12426
2021-02-22;12438
2021-02-23;12453
2021-02-23;12476
2021-02-24;12495
2021-02-24;12512
2021-02-25;12532
2021-02-25;12544
2021-02-26;12556
2021-02-26;12572
2021-02-27;12581
2021-02-27;12595
2021-02-28;12608
2021-02-28;12618
2021-03-01;12634
2021-03-01;12647
2021-03-02;12663
2021-03-02;12683
2021-03-03;12698
2021-03-03;12711
2021-03-04;12717
2021-03-04;12726
2021-03-05;12740
2021-03-05;12760
2021-03-06;12767
2021-03-06;12785
2021-03-07;12798
2021-03-07;12808
2021-03-08;12823
2021-03-08;12838
2021-03-09;12853
2021-03-09;12874
2021-03-10;12888
2021-03-10;12898
2021-03-11;12914
2021-03-11;12926
2021-03-12;12937
2021-03-12;12949
2021-03-13;12960
2021-03-13;12975
2021-03-14;12987
2021-03-14;12994
2021-03-15;13009
2021-03-15;13032
2021-03-16;13048
2021-03-16;13074
2021-03-17;13084
2021-03-17;13097
2021-03-18;13106
2021-03-18;13125
2021-03-19;13138
2021-03-19;13147
2021-03-20;13158
2021-03-20;13172
2021-03-21;13180
2021-03-21;13193
2021-03-22;13203
2021-03-22;13221
2021-03-23;13235
2021-03-23;13243
2021-03-24;13251
2021-03-24;13263
2021-03-25;13272
2021-03-25;13287
2021-03-26;13290
2021-03-26;13294
2021-03-27;13299
2021-03-27;13315
2021-03-28;13324
2021-03-28;13330
2021-03-29;13338
2021-03-29;13343
2021-03-30;13344
